ALLSKY_SFC_SW_DWN,T2M,TEMP_7DAY_AVG,SOLAR_7DAY_AVG,Performance_Ratio,Actual,Predicted,Anomaly_Probability,Maintenance_Status,Health_Index,Severity_Score,Recommended_Action,Maintenance_Priority,Expected_kWh,Energy_Loss_kWh,Revenue_Loss_INR,Estimated_Performance_Loss_%,Maintenance_Due,Next_Inspection_Window,Fault_Streak,Probable_Root_Cause
1.3205,-1.15,2.898571428571429,0.9025428571428572,4.543733434305188,0,0,0.02,HEALTHY,98.0,2.0,System operating normally,LOW,6.000000000000001,0.1200000000000001,1.2,2.0,NO,Routine monthly check,0,Low irradiance conditions
1.0526,1.21,2.367142857142857,0.9252714285714284,4.750142504275129,0,0,0.0,HEALTHY,100.0,0.0,System operating normally,LOW,4.891366906474821,0.0,0.0,0.0,NO,Routine monthly check,0,Low irradiance conditions
0.3562,-1.34,1.3185714285714287,0.8898285714285715,16.844469399213924,0,0,0.006666666666666667,HEALTHY,99.33,0.7,System operating normally,LOW,3.103492869774103,0.020793402227486713,0.21,0.67,NO,Routine monthly check,0,Low irradiance conditions
0.5071,-1.48,0.2785714285714285,0.9223571428571428,1.97199763360284,1,1,0.97,MAINTENANCE REQUIRED,3.0,97.0,Immediate panel cleaning and inspection,HIGH,3.563688730198865,3.456778068292899,34.57,97.0,YES,Within 24 hours,1,Low irradiance conditions
0.6612,-2.8,-0.7485714285714286,0.9004142857142857,3.0248033877797944,1,1,0.7966666666666666,MAINTENANCE REQUIRED,20.33,79.7,Immediate panel cleaning and inspection,HIGH,4.117311754537551,3.2802622748400667,32.8,79.67,YES,Within 24 hours,2,Low irradiance conditions
0.3766,-0.02,-0.9442857142857142,0.7904285714285714,5.310674455655868,0,0,0.0033333333333333335,HEALTHY,99.67,0.3,System operating normally,LOW,2.2875826864776685,0.007549022865376287,0.08,0.33,NO,Routine monthly check,0,Low irradiance conditions
0.5964,5.85,0.0385714285714285,0.6958,1.6767270288397047,1,1,0.9966666666666667,MAINTENANCE REQUIRED,0.33,99.7,Immediate panel cleaning and inspection,HIGH,3.248041076280893,3.237322540729166,32.37,99.67,YES,Within 24 hours,1,Low irradiance conditions
0.6643,5.23,0.95,0.602057142857143,3.0106879421947914,0,1,0.8633333333333333,MAINTENANCE REQUIRED,13.67,86.3,Immediate panel cleaning and inspection,HIGH,3.4156010665689513,2.948688400768976,29.49,86.33,YES,Within 24 hours,2,Low irradiance conditions
0.8705,4.16,1.3714285714285717,0.5760428571428572,1.1487650775416427,1,1,0.9966666666666667,MAINTENANCE REQUIRED,0.33,99.7,Immediate panel cleaning and inspection,HIGH,4.089609083510826,4.07611337353524,40.76,99.67,YES,Within 24 hours,3,Low irradiance conditions
1.2456,1.94,1.84,0.7031000000000001,2.4084778420038533,1,1,0.9966666666666667,MAINTENANCE REQUIRED,0.33,99.7,Immediate panel cleaning and inspection,HIGH,5.56664602754621,5.548276095655308,55.48,99.67,YES,Within 24 hours,4,Low irradiance conditions
0.8918,0.05,2.0585714285714287,0.7580571428571429,5.606638259699484,0,0,0.0,HEALTHY,100.0,0.0,System operating normally,LOW,4.077724446317008,0.0,0.0,0.0,NO,Routine monthly check,0,Low irradiance conditions
0.8366,-0.19,2.431428571428572,0.7831142857142857,2.390628735357399,1,1,0.96,MAINTENANCE REQUIRED,4.0,96.0,Immediate panel cleaning and inspection,HIGH,3.6732140044177406,3.526285444241031,35.26,96.0,YES,Within 24 hours,1,Low irradiance conditions
0.4651,0.66,2.528571428571429,0.7957571428571429,2.150075252633842,1,1,0.9866666666666667,MAINTENANCE REQUIRED,1.33,98.7,Immediate panel cleaning and inspection,HIGH,1.9619285019452632,1.9358348528693912,19.36,98.67,YES,Within 24 hours,2,Low irradiance conditions
0.5362,0.95,1.8285714285714283,0.7871571428571429,3.729951510630362,0,0,0.13333333333333333,HEALTHY,86.67,13.3,System operating normally,LOW,2.243145685361006,0.29901131985862195,2.99,13.33,NO,Routine monthly check,0,Low irradiance conditions
1.7359,2.03,1.3714285714285714,0.9402428571428572,1.1521401002361886,1,1,0.99,MAINTENANCE REQUIRED,1.0,99.0,Immediate panel cleaning and inspection,HIGH,6.911186414653036,6.8420745505065055,68.42,99.0,YES,Within 24 hours,1,Low irradiance conditions
0.5124,1.09,0.9328571428571428,0.8890857142857144,5.85480093676815,0,0,0.0,HEALTHY,100.0,0.0,System operating normally,LOW,2.10003019986114,0.0,0.0,0.0,NO,Routine monthly check,0,Low irradiance conditions
0.9398,3.41,1.1428571428571428,0.8453999999999999,2.128112364332837,1,1,1.0,MAINTENANCE REQUIRED,0.0,100.0,Immediate panel cleaning and inspection,HIGH,3.742771514587867,3.742771514587867,37.43,100.0,YES,Within 24 hours,1,Low irradiance conditions
0.5808,3.47,1.6314285714285717,0.8009714285714286,3.443526170798898,0,0,0.2833333333333333,HEALTHY,71.67,28.3,System operating normally,LOW,2.2956556256907352,0.6503592387581854,6.5,28.33,NO,Routine monthly check,0,Low irradiance conditions
1.6476,6.53,2.591428571428572,0.9168285714285714,1.2138868657441126,1,1,0.9866666666666667,MAINTENANCE REQUIRED,1.33,98.7,Immediate panel cleaning and inspection,HIGH,6.274775242857855,6.191320732127846,61.91,98.67,YES,Within 24 hours,1,Low irradiance conditions
0.5873,6.62,3.4428571428571426,0.9342857142857144,8.513536523071684,0,0,0.006666666666666667,HEALTHY,99.33,0.7,System operating normally,LOW,2.3748584153458956,0.015911551382817635,0.16,0.67,NO,Routine monthly check,0,Low irradiance conditions
1.5264,7.5,4.378571428571428,1.0757428571428571,0.6551362683438156,1,1,0.9933333333333333,MAINTENANCE REQUIRED,0.67,99.3,Immediate panel cleaning and inspection,HIGH,5.925987181344774,5.886283067229764,58.86,99.33,YES,Within 24 hours,1,Low irradiance conditions
0.7387,5.23,4.835714285714286,0.9332857142857142,5.414918099363747,0,0,0.0,HEALTHY,100.0,0.0,System operating normally,LOW,2.919336684892768,0.0,0.0,0.0,NO,Routine monthly check,0,Low irradiance conditions
2.0184,4.82,5.368571428571429,1.1484285714285716,0.990883868410622,1,1,0.99,MAINTENANCE REQUIRED,1.0,99.0,Immediate panel cleaning and inspection,HIGH,7.716844610998546,7.63967616488856,76.4,99.0,YES,Within 24 hours,1,Normal environmental variation
1.7714,5.02,5.598571428571428,1.2672285714285716,2.2581009371118888,1,1,0.9866666666666667,MAINTENANCE REQUIRED,1.33,98.7,Immediate panel cleaning and inspection,HIGH,6.6569813241145,6.568443472503777,65.68,98.67,YES,Within 24 hours,2,Low irradiance conditions
0.923,5.22,5.848571428571428,1.316114285714286,9.750812567713975,0,0,0.03,HEALTHY,97.0,3.0,System operating normally,LOW,3.6899187149550503,0.11069756144865162,1.11,3.0,NO,Routine monthly check,0,Low irradiance conditions
2.2882,4.56,5.567142857142857,1.4076285714285717,3.49619788480028,0,0,0.02666666666666667,HEALTHY,97.33,2.7,System operating normally,LOW,9.103500295399767,0.24306345788717465,2.43,2.67,NO,Routine monthly check,0,Normal environmental variation
2.5903,5.3,5.378571428571428,1.6937714285714287,3.4745010230475235,0,0,0.04,HEALTHY,96.0,4.0,System operating normally,LOW,10.25704366030107,0.41028174641204274,4.1,4.0,NO,Routine monthly check,0,Normal environmental variation
2.1151,5.67,5.117142857142857,1.7778714285714283,4.2551179613257055,0,0,0.006666666666666667,HEALTHY,99.33,0.7,System operating normally,LOW,8.397660395643298,0.05626432465080988,0.56,0.67,NO,Routine monthly check,0,Normal environmental variation
2.3294,6.47,5.2942857142857145,2.005114285714286,3.863655877049884,0,0,0.006666666666666667,HEALTHY,99.33,0.7,System operating normally,LOW,9.239934583954161,0.06190756171249312,0.62,0.67,NO,Routine monthly check,0,Normal environmental variation
2.1782,6.29,5.504285714285714,2.027942857142857,4.131851987879901,0,0,0.0,HEALTHY,100.0,0.0,System operating normally,LOW,8.652169940933282,0.0,0.0,0.0,NO,Routine monthly check,0,Normal environmental variation
1.5718,6.24,5.678571428571429,1.9994285714285716,5.725919328158798,0,0,0.0,HEALTHY,100.0,0.0,System operating normally,LOW,6.305387706131984,0.0,0.0,0.0,NO,Routine monthly check,0,Low irradiance conditions
2.1067,6.32,5.8357142857142845,2.168528571428572,4.272084302463568,0,0,0.006666666666666667,HEALTHY,99.33,0.7,System operating normally,LOW,8.417606332533087,0.05639796242797246,0.56,0.67,NO,Routine monthly check,0,Normal environmental variation
1.1419,6.64,6.132857142857143,2.0047714285714284,9.633067694193889,0,0,0.0,HEALTHY,100.0,0.0,System operating normally,LOW,4.2881267459628525,0.0,0.0,0.0,NO,Routine monthly check,0,Low irradiance conditions
1.2216,8.03,6.522857142857142,1.8092428571428567,4.911591355599214,0,0,0.006666666666666667,HEALTHY,99.33,0.7,System operating normally,LOW,4.707120899908357,0.031537710029386545,0.32,0.67,NO,Routine monthly check,0,Low irradiance conditions
2.8344,6.26,6.607142857142856,1.912,1.4112334180073385,1,1,0.9966666666666667,MAINTENANCE REQUIRED,0.33,99.7,Immediate panel cleaning and inspection,HIGH,10.769180130850733,10.733641836418926,107.34,99.67,YES,Within 24 hours,1,Normal environmental variation
2.9318,6.25,6.575714285714285,1.9980571428571428,3.751961252472884,0,0,0.01,HEALTHY,99.0,1.0,System operating normally,LOW,10.986919369868888,0.10986919369868886,1.1,1.0,NO,Routine monthly check,0,Normal environmental variation
3.0936,9.07,6.972857142857142,2.1288285714285715,2.585983966899405,1,1,0.99,MAINTENANCE REQUIRED,1.0,99.0,Immediate panel cleaning and inspection,HIGH,11.687027382951998,11.570157109122478,115.7,99.0,YES,Within 24 hours,1,Normal environmental variation
3.2071,9.65,7.46,2.3624428571428573,3.4298899317140097,0,0,0.02666666666666667,HEALTHY,97.33,2.7,System operating normally,LOW,12.160622701302655,0.32468862612478233,3.25,2.67,NO,Routine monthly check,0,Normal environmental variation
3.2556,7.7,7.6571428571428575,2.5265714285714287,3.3787934635704637,0,0,0.05333333333333334,HEALTHY,94.67,5.3,System operating normally,LOW,12.58652678832529,0.6708618778177389,6.71,5.33,NO,Routine monthly check,0,Normal environmental variation
1.866,7.83,7.827142857142857,2.6300142857142856,5.894962486602358,0,0,0.0,HEALTHY,100.0,0.0,System operating normally,LOW,7.431031536506939,0.0,0.0,0.0,NO,Routine monthly check,0,Low irradiance conditions
1.3788,6.03,7.541428571428571,2.6524714285714284,2.175805047867711,1,1,0.9333333333333333,MAINTENANCE REQUIRED,6.67,93.3,Immediate panel cleaning and inspection,HIGH,5.333158285292554,4.977436627663541,49.77,93.33,YES,Within 24 hours,1,Low irradiance conditions
2.1847,7.13,7.665714285714286,2.559657142857143,1.3731862498283518,1,1,0.9933333333333333,MAINTENANCE REQUIRED,0.67,99.3,Immediate panel cleaning and inspection,HIGH,8.376262485225082,8.320141526574075,83.2,99.33,YES,Within 24 hours,2,Normal environmental variation
0.7536,9.76,8.167142857142858,2.248485714285714,2.653927813163482,1,1,0.9066666666666666,MAINTENANCE REQUIRED,9.33,90.7,Immediate panel cleaning and inspection,HIGH,2.902001495900137,2.631244756332654,26.31,90.67,YES,Within 24 hours,3,Low irradiance conditions
2.2507,8.0,8.014285714285714,2.1280714285714284,0.8886124316879193,1,1,1.0,MAINTENANCE REQUIRED,0.0,100.0,Immediate panel cleaning and inspection,HIGH,8.453944161324639,8.453944161324639,84.54,100.0,YES,Within 24 hours,4,Normal environmental variation
2.7792,6.91,7.622857142857143,2.066942857142857,2.5187104202648247,1,1,0.9666666666666667,MAINTENANCE REQUIRED,3.33,96.7,Immediate panel cleaning and inspection,HIGH,10.565663193678551,10.213826609329056,102.14,96.67,YES,Within 24 hours,5,Normal environmental variation
1.1256,8.29,7.707142857142857,1.7626571428571427,7.995735607675907,0,0,0.013333333333333334,HEALTHY,98.67,1.3,System operating normally,LOW,4.359512702907071,0.05798151894866432,0.58,1.33,NO,Routine monthly check,0,Low irradiance conditions
