DATE,ALLSKY_SFC_SW_DWN,T2M
2011-10-26,1.3339,9.48
2011-10-27,1.2857,9.28
2011-10-28,1.007,10.65
2011-10-29,0.8602,11.79
2011-10-30,0.7555,12.48
2011-10-31,1.591,12.31
2011-11-01,1.5708,11.29
2011-11-02,1.133,10.65
2011-11-03,0.7265,12.72
2011-11-04,1.859,13.15
2011-11-05,1.2996,12.24
2011-11-06,0.5417,11.08
2011-11-07,0.4145,9.96
2011-11-08,0.768,8.0
2011-11-09,0.9257,8.87
2011-11-10,0.8902,6.62
2011-11-11,0.7418,6.84
2011-11-12,1.2329,5.3
2011-11-13,1.2216,4.79
2011-11-14,1.0925,3.85
2011-11-15,0.7488,2.8
2011-11-16,1.3073,2.44
2011-11-17,0.3917,3.26
2011-11-18,1.091,7.31
2011-11-19,1.141,6.32
2011-11-20,0.7159,4.59
2011-11-21,0.5345,3.06
2011-11-22,0.803,5.0
2011-11-23,0.6907,8.79
2011-11-24,0.9029,7.94
2011-11-25,0.7222,9.15
2011-11-26,0.744,9.26
2011-11-27,0.6252,10.28
2011-11-28,0.9936,5.77
2011-11-29,0.6737,6.86
2011-11-30,1.0109,7.82
2011-12-01,0.3998,8.0
2011-12-02,0.8916,5.83
2011-12-03,0.5599,7.38
2011-12-04,0.601,7.22
2011-12-05,0.6127,5.33
2011-12-06,0.5266,5.05
2011-12-07,0.5374,6.58
2011-12-08,0.2532,7.47
2011-12-09,0.6103,5.93
2011-12-10,0.7896,4.23
2011-12-11,0.4205,3.88
2011-12-12,0.792,5.87
2011-12-13,0.7548,6.95
2011-12-14,0.4454,4.35
2011-12-15,0.3737,4.74
2011-12-16,0.2616,3.66
2011-12-17,0.5875,4.87
2011-12-18,0.547,3.68
2011-12-19,0.6475,2.77
2011-12-20,0.581,5.64
2011-12-21,0.3917,5.27
2011-12-22,0.3694,8.58
2011-12-23,0.2825,8.13
2011-12-24,0.8066,6.11
2011-12-25,0.5496,8.27
2011-12-26,0.6756,9.24
2011-12-27,0.3125,7.54
2011-12-28,0.2698,5.52
2011-12-29,0.3274,6.46
2011-12-30,0.7344,5.29
2011-12-31,0.2942,6.31
2012-01-01,0.2892,9.68
2012-01-02,0.7922,6.04
2012-01-03,0.2314,6.54
2012-01-04,0.6619,6.55
2012-01-05,0.539,7.12
2012-01-06,0.7234,6.11
2012-01-07,0.5962,7.02
2012-01-08,0.6456,6.23
2012-01-09,0.3396,7.02
2012-01-10,0.569,6.19
2012-01-11,0.4596,7.69
2012-01-12,0.348,7.2
2012-01-13,0.9146,5.1
2012-01-14,0.9048,4.13
2012-01-15,0.9612,2.31
2012-01-16,1.1556,-0.22
2012-01-17,1.2199,0.96
2012-01-18,0.4409,2.1
2012-01-19,0.7162,5.15
2012-01-20,0.8074,4.42
2012-01-21,0.6751,6.54
2012-01-22,0.5974,6.38
2012-01-23,1.0133,5.11
2012-01-24,0.7339,3.76
2012-01-25,0.6614,3.18
2012-01-26,0.3646,4.22
2012-01-27,1.3258,3.89
2012-01-28,0.913,2.21
2012-01-29,0.8129,-0.97
2012-01-30,0.3694,-1.35
2012-01-31,1.4777,-3.72
2012-02-01,1.7021,-4.69
2012-02-02,1.8029,-6.18
2012-02-03,0.732,-4.51
2012-02-04,1.2847,-6.51
2012-02-05,0.9439,-5.57
2012-02-06,1.2163,-5.19
2012-02-07,1.2986,-6.39
2012-02-08,0.8417,-3.21
2012-02-09,0.6125,-3.12
2012-02-10,1.572,-5.49
2012-02-11,1.6301,-6.35
2012-02-12,0.6612,-1.45
2012-02-13,0.7505,2.68
2012-02-14,1.073,3.86
2012-02-15,1.3296,4.59
2012-02-16,1.0541,4.47
2012-02-17,1.7854,5.56
2012-02-18,0.9456,5.14
2012-02-19,2.0066,2.66
2012-02-20,2.3167,1.9
2012-02-21,1.8,4.46
2012-02-22,1.5574,5.08
2012-02-23,1.6447,7.05
2012-02-24,1.3303,5.46
2012-02-25,2.6321,5.1
2012-02-26,1.553,5.14
2012-02-27,1.1426,4.69
2012-02-28,0.6994,6.07
2012-02-29,0.9953,6.58
2012-03-01,1.129,6.94
2012-03-02,1.7419,5.55
2012-03-03,1.1657,7.12
2012-03-04,1.4609,6.44
2012-03-05,0.7171,5.1
2012-03-06,1.8905,4.34
2012-03-07,0.9151,3.55
2012-03-08,2.9011,4.94
2012-03-09,2.0506,6.21
2012-03-10,2.1533,6.92
2012-03-11,3.6814,6.87
2012-03-12,2.8486,6.48
2012-03-13,0.9158,7.16
2012-03-14,0.9374,6.54
2012-03-15,3.7915,6.68
2012-03-16,1.5989,6.83
2012-03-17,2.371,7.31
2012-03-18,1.4362,5.8
2012-03-19,4.2965,5.2
2012-03-20,3.7546,6.89
2012-03-21,4.2175,8.35
2012-03-22,4.4256,10.13
2012-03-23,4.1398,9.78
2012-03-24,3.9144,8.89
2012-03-25,4.375,7.77
2012-03-26,4.6512,8.18
2012-03-27,4.1942,8.65
2012-03-28,4.9325,8.79
2012-03-29,2.5166,7.96
2012-03-30,2.2332,7.91
2012-03-31,3.1606,6.42
2012-04-01,3.1486,5.68
2012-04-02,3.2705,7.22
2012-04-03,2.9436,8.27
2012-04-04,1.3373,6.25
2012-04-05,4.129,5.47
2012-04-06,4.3426,5.17
2012-04-07,3.2323,4.4
2012-04-08,3.6943,5.83
2012-04-09,1.8931,8.34
2012-04-10,3.9132,9.09
2012-04-11,5.0155,7.86
2012-04-12,4.5252,7.85
2012-04-13,4.7302,7.3
2012-04-14,4.8559,6.82
2012-04-15,4.2358,6.57
2012-04-16,5.1384,5.36
2012-04-17,2.5421,5.05
2012-04-18,3.8328,7.79
2012-04-19,2.8087,8.38
2012-04-20,3.7346,7.54
2012-04-21,3.7022,6.65
2012-04-22,5.0966,8.16
2012-04-23,4.0478,8.62
2012-04-24,4.0284,8.11
2012-04-25,3.5666,9.09
2012-04-26,4.6469,10.88
2012-04-27,5.286,11.38
2012-04-28,1.3433,9.37
2012-04-29,2.0623,11.29
2012-04-30,6.2635,14.11
2012-05-01,3.305,13.16
2012-05-02,5.131,13.1
2012-05-03,1.745,11.84
2012-05-04,1.7662,9.01
2012-05-05,4.0838,7.65
2012-05-06,4.8005,8.05
2012-05-07,4.9735,9.43
2012-05-08,2.7854,11.94
2012-05-09,3.8093,13.7
2012-05-10,2.6842,16.22
2012-05-11,4.9174,12.53
2012-05-12,6.1195,8.97
2012-05-13,6.7219,10.07
2012-05-14,5.1106,10.62
2012-05-15,5.0767,8.82
2012-05-16,6.2592,8.29
2012-05-17,5.1962,10.29
2012-05-18,3.6658,12.42
2012-05-19,5.7857,13.71
2012-05-20,4.4273,14.91
2012-05-21,5.6105,16.36
2012-05-22,6.6682,18.41
2012-05-23,6.5369,20.66
2012-05-24,6.9077,19.27
2012-05-25,7.8984,17.29
2012-05-26,7.4846,17.48
2012-05-27,7.4026,17.87
2012-05-28,6.1879,15.44
2012-05-29,4.6195,13.75
2012-05-30,4.9973,14.49
2012-05-31,2.2466,13.76
2012-06-01,4.4698,11.83
2012-06-02,6.6101,11.78
2012-06-03,2.2198,9.77
2012-06-04,2.8894,9.43
2012-06-05,5.9729,11.78
2012-06-06,3.6936,13.1
2012-06-07,4.5295,15.87
2012-06-08,5.8193,14.82
2012-06-09,2.569,13.0
2012-06-10,6.612,14.62
2012-06-11,4.5398,14.77
2012-06-12,3.6862,13.32
2012-06-13,5.5649,11.68
2012-06-14,6.9454,12.45
2012-06-15,3.3703,14.33
2012-06-16,6.5549,16.0
2012-06-17,6.1358,15.54
2012-06-18,3.8059,14.33
2012-06-19,6.6346,15.54
2012-06-20,6.5594,16.54
2012-06-21,3.6785,17.27
2012-06-22,5.0822,14.95
2012-06-23,6.3161,15.17
